Image,Type,PSNR_Full,SSIM_Full,PSNR_Tumor,SSIM_Tumor,PSNR_Background,SSIM_Background,Time,Method
benign_15,benign,18.772410101723583,0.2990762540501948,12.70968260401245,0.9858428753720196,18.885993000967687,0.314258994733727,1.447946071624756,TV-only
benign_15,benign,18.939823330733038,0.2698783364883042,20.107463455433727,0.31331766699417024,18.93124607002093,0.2698783364883042,11.769537210464478,Wavelet-only
benign_2,benign,17.790103468855335,0.2628314610092415,18.57064835852613,0.9878841472883134,17.763916718924715,0.2934958529238605,34.96221375465393,Adaptive-HASA
benign_2,benign,19.37450753331508,0.30093925678821093,18.83848843689539,0.5316709994532435,19.395570545973285,0.30093925678821093,12.122951984405518,Static-HASA
benign_2,benign,17.23384299361879,0.2250212643254397,13.27935290615223,0.9811808452719232,17.47778843251631,0.2705816958150775,1.5148468017578125,TV-only
benign_2,benign,13.461022475173374,0.12064100008328799,14.65381586480234,0.16291343496597144,13.422776395625583,0.12064100008328799,10.84536361694336,Wavelet-only
benign_3,benign,18.14725027068999,0.3036617778230673,15.738878238302966,0.9866872551935802,18.237846347990786,0.328286376878004,35.20920991897583,Adaptive-HASA
benign_3,benign,19.459927777272842,0.3766148880794033,14.583960536514818,0.47618424939502874,19.715644488274375,0.3766148880794033,11.998047113418579,Static-HASA
benign_3,benign,17.41350205739962,0.2852662103734846,10.478918727337408,0.9782647086624608,17.917950366634404,0.3261487229062602,0.9961991310119628,TV-only
benign_3,benign,14.528394921210015,0.14776820890448106,16.431805688008257,0.2518524335323432,14.48609714826129,0.14776820890448106,10.121025800704956,Wavelet-only
benign_4,benign,18.509733954729843,0.3065606258489179,18.552101505157506,0.997942424761942,18.509412439338696,0.3205682855328324,35.56297755241394,Adaptive-HASA
benign_4,benign,19.733692480456742,0.33624795729455187,11.131640901396926,0.16599259246631895,20.017089998874646,0.33624795729455187,11.951735019683838,Static-HASA
benign_4,benign,18.553750126959702,0.2824659610990794,14.299286387433302,0.996673154117224,18.609195774849525,0.2994968881330543,0.9966802597045898,TV-only
benign_4,benign,14.565454989162292,0.14244094534726467,15.59153566822166,0.2758481372185126,14.556224631866744,0.14244094534726467,11.51441216468811,Wavelet-only
benign_5,benign,18.51479950140144,0.3369694459621583,16.438102012225254,0.9931466737390826,18.548838840900476,0.3568443459804559,35.21542048454285,Adaptive-HASA
benign_5,benign,19.59165050692664,0.372642868818699,13.317507803728715,0.15175272560695735,19.775340555191683,0.372642868818699,12.804097652435303,Static-HASA
benign_5,benign,17.103690008783616,0.2834855328049867,16.241958175279876,0.9932782722999376,17.11584405505202,0.3042074030604388,1.2121155261993408,TV-only
benign_5,benign,16.928377796840394,0.22158403329798304,15.213706100171633,0.3715976456623491,16.955331564669855,0.22158403329798304,12.657995462417603,Wavelet-only
benign_6,benign,21.08874572100095,0.48412282292131,14.18778831824472,0.9775271140758752,21.61509233112922,0.5209261307869995,35.47541546821594,Adaptive-HASA
benign_6,benign,21.696173379160925,0.5019535082747926,14.881740995208157,0.29639989369241193,22.209874638508474,0.5019535082747926,12.627522945404053,Static-HASA
benign_6,benign,19.89263085822688,0.4586920737364928,13.429330375521095,0.9755721171426888,20.3520947223401,0.4984236394533901,1.080491065979004,TV-only
benign_6,benign,19.31463797479377,0.25460457594601366,18.330890018603046,0.44275624296351923,19.34715267156361,0.25460457594601366,11.790262460708618,Wavelet-only
benign_7,benign,19.34802797825498,0.404070879196261,10.58706452755342,0.9938432793285336,19.530905235375947,0.4189882697436087,35.11367869377136,Adaptive-HASA
benign_7,benign,20.294720063778527,0.4399595017086613,10.5386591533618,0.1582231971156544,20.526844250096413,0.4399595017086613,10.434943437576294,Static-HASA
benign_7,benign,18.996729218499087,0.3907932758507277,11.403214395235322,0.9942667009838194,19.129118778114183,0.4058444901140863,1.1198348999023438,TV-only
benign_7,benign,15.519099543947538,0.16750736237764755,15.299824273736576,0.3741360316045141,15.520484381215722,0.16750736237764755,11.311050653457642,Wavelet-only
benign_8,benign,19.949045348018,0.4577547417050393,16.49847891911547,0.9957156210733338,20.009648119845863,0.4760401937632888,35.023773193359375,Adaptive-HASA
benign_8,benign,21.054056361317038,0.4719815543423301,13.966098232910724,0.39833261804204856,21.256351068263722,0.4719815543423301,15.670862197875977,Static-HASA
